name_osm,node_index,node_osmid,edge_u_osmid,edge_v_osmid,lon,lat,dist_diff,dist_cum_diff
"Hellevoetsluis, Amnesty Internationallaan",4459,1080827859,8875389418,1080827859,4.1316843,51.8342226,0.0,0.0
"Hellevoetsluis, Hoonaartstraat",4521,1104925479,44035657,1104925479,4.1343321,51.8384269,507.50199999999995,507.50199999999995
"Hellevoetsluis, Koninginnelaan",5754,3717519083,44058345,3717519083,4.1397073,51.8458237,903.577,1411.079
"Hellevoetsluis, Jan van Brakelpad",2199,44064783,44064361,44064783,4.14631,51.8440531,710.434,2121.513
"Hellevoetsluis, Albert Schweitzerlaan",1919,44053854,1946166845,44053854,4.1498473,51.8408239,541.8149999999999,2663.328
"Hellevoetsluis, Martin Luther Kinglaan",1801,44049188,44047876,44049188,4.1550784,51.8394044,458.395,3121.723
"Hellevoetsluis, Winkelcentrum Bonsenhoek",2028,44057180,44059609,44057180,4.1537869,51.8417423,280.547,3402.27
"Hellevoetsluis, Bonseweg",2179,44063675,44066196,44063675,4.1573893,51.8438556,701.019,4103.289
"Hellevoetsluis, Uniceflaan",2337,44070762,1084053288,44070762,4.164455,51.8459404,707.0149999999999,4810.304
"Hellevoetsluis, Kickersbloem",4123,613843458,44055098,613843458,4.1723068,51.8407031,1146.9899999999998,5957.294
"Heenvliet, Heenvliet",4531,1111999327,1072624809,1111999327,4.251669,51.8577165,7142.453000000002,13099.747000000003
"Geervliet, Geervliet",6333,11079648385,1111999327,11079648385,4.2931651,51.8587226,2911.5559999999996,16011.303000000004
"Spijkenisse, Laanweg",4118,588595659,11079648385,588595659,4.3016639,51.8566864,644.449,16655.752000000004
"Spijkenisse, Halfweg 2",2684,44102774,588595657,44102774,4.3039914,51.8547425,269.356,16925.108000000004
"Spijkenisse, Zinkseweg",5930,6634222995,44089774,6634222995,4.3142535,51.8512362,912.7190000000002,17837.827000000005
"Spijkenisse, De Ritte",4915,1507726851,7899850330,1507726851,4.323455,51.8460718,1002.4330000000001,18840.260000000006
"Spijkenisse, Metro Centrum",4767,1490933914,1490933911,1490933914,4.333437,51.8461614,1051.9199999999998,19892.180000000004
