from_node,to_node,distance,travel_time,source_edge_id
0,5819,228.93399999999997,13.73604,7581304
0,4,498.469,29.908139999999996,666277366
0,1,1179.9630000000002,70.79778,1021894386
1,4565,70.505,4.2303,7581287
1,0,1179.9630000000002,70.79778,1021894386
1,3,785.814,47.14884,87095763
1,2,141.21699999999998,8.47302,479324896
2,1,141.217,8.473020000000002,479324896
3,22,1335.2310000000002,80.11386000000002,7581313
3,7,786.746,47.20476,86006659
3,1,785.8140000000001,47.14884000000001,87095763
4,11,764.965,45.8979,7581153
4,8,391.02799999999996,23.461679999999998,666277365
4,0,498.469,29.908139999999996,7581310
5,6,363.809,43.65708000000001,7581210
6,8,156.744,9.40464,7581207
6,5,363.80899999999997,43.65708,7581210
6,10,2054.957,123.29741999999999,462818455
7,32,1565.263,93.91578,7562814
7,15,1116.999,67.01994,7581328
7,3,786.7460000000001,47.20476000000001,86006659
8,26,1133.769,68.02614,7559203
8,6,156.744,9.40464,7581207
8,4,391.02799999999996,23.461679999999998,666277365
9,4210,82.393,9.887160000000002,479324897
9,4202,61.46000000000001,7.375200000000001,421294785
9,10,116.74499999999999,14.0094,421369740
10,9,116.74499999999999,14.0094,421369740
10,12,154.05900000000003,9.243540000000001,462818454
10,6,2054.9569999999994,123.29741999999997,462818455
11,57,1632.293,97.93758,7559202
11,4,764.9650000000001,45.89790000000001,7581153
11,22,731.211,43.87266,7581314
11,4566,861.572,51.69432,102444330
12,18,518.115,31.086900000000004,7581191
12,29,914.9650000000001,54.89790000000001,7581200
12,4265,1272.487,76.34922000000002,306213321
12,10,154.05900000000003,9.243540000000001,462818454
13,31,1168.012,70.08072,7574541
13,15,1491.4239999999995,89.48543999999997,7583192
13,27,938.4449999999999,56.3067,109133689
14,4265,35.09,4.210800000000001,73986288
15,20,325.412,19.524720000000002,7581327
15,7,1116.999,67.01994,7581328
15,13,1491.424,89.48544,86006664
16,17,88.315,10.5978,7508409
16,23,1039.469,62.368140000000004,7508561
16,4265,186.321,11.179260000000001,306213321
17,19,125.338,15.04056,7508368
17,16,88.315,10.5978,7508409
18,29,653.5389999999999,39.21233999999999,7558761
18,12,518.115,31.086900000000004,7581191
18,26,1058.798,63.52788,7581220
19,17,125.338,15.04056,7508368
19,25,490.46000000000004,58.8552,7508409
20,31,740.317,44.41902,7574542
20,90,1319.5950000000003,79.17570000000002,7581327
20,15,325.41200000000003,19.524720000000002,7581327
21,116,1328.2479999999998,79.69488,144700553
22,85,1277.544,76.65264,7562808
22,30,709.538,42.572280000000006,7563140
22,3,1335.231,80.11386,7581313
22,11,731.211,43.87266,7581314
23,16,1039.469,62.368140000000004,7508561
23,45,1676.8629999999998,100.61178,7508521
23,41,539.655,32.3793,462644234
24,25,68.978,8.27736,75224161
25,95,870.037,104.40444000000001,7508409
25,19,490.46000000000004,58.8552,7508409
25,24,68.97800000000001,8.277360000000002,75224161
26,8,1133.769,68.02614,7559203
26,18,1058.7980000000002,63.52788000000002,7581220
26,28,117.28500000000001,7.037100000000001,967595933
27,4235,1043.866,62.63196,219945537
27,115,942.8189999999998,56.56913999999999,660410883
27,13,938.445,56.306700000000006,109133689
28,71,498.853,29.93118,7559522
28,34,178.59199999999998,12.858624,7559525
28,26,117.28500000000001,7.037100000000001,967595933
29,18,653.539,39.21234,7558761
29,71,1195.2120000000002,71.71272000000002,7581200
29,12,914.965,54.8979,7581200
30,32,55.696,3.3417600000000003,7563140
30,430,1641.4490000000003,98.48694000000002,7563057
30,22,709.538,42.572280000000006,7563140
31,224,1185.36,71.12159999999999,7574541
31,13,1168.012,70.08072,7574541
31,4235,766.096,45.96576,7574542
31,20,740.317,44.41902,7574542
32,30,55.696,3.3417600000000003,7563140
32,7,1565.263,93.91578,7562814
32,116,967.5219999999999,58.05132,7563140
33,5658,27.889,3.34668,7559421
34,36,40.438,4.85256,25606346
34,43,247.542,17.823024,7559525
34,28,178.59199999999998,12.858624,7559525
35,41,811.5759999999999,97.38911999999999,7557969
36,38,97.072,11.64864,7559226
36,37,31.485,3.7781999999999996,25606347
36,34,40.438,4.85256,7559219
37,40,76.125,9.135,25606347
37,36,31.485,3.7781999999999996,25606347
37,5659,82.275,9.873000000000001,951300631
38,36,97.072,11.64864,7559226
39,49,135.917,16.31004,7559312
40,4303,48.076,5.76912,7559230
40,44,137.559,16.507080000000002,25606345
40,37,76.125,9.135,25606347
41,35,811.576,97.38912,7557969
41,105,434.16600000000005,26.049960000000006,462644234
41,23,539.655,32.3793,462644234
42,4623,45.306,5.43672,169215947
42,45,98.81700000000001,11.85804,317446366
42,5839,12.207999999999998,1.4649599999999998,566463519
43,46,38.284,2.7564480000000002,7559525
43,49,39.138999999999996,4.696679999999999,7559277
43,34,247.542,17.823024,7559525
44,48,29.858,3.58296,7559296
44,53,94.768,11.37216,7559328
44,40,137.559,16.507080000000002,25606345
45,23,1676.8629999999998,100.61178,7508521
45,5691,627.535,28.239075,7554857
45,6015,688.2460000000001,30.97107,168289322
45,42,98.81700000000001,11.85804,317446366
46,43,38.284,2.7564480000000002,7559525
46,50,71.292,8.55504,7559332
46,57,164.94099999999997,11.875751999999999,7559525
47,4303,70.274,8.43288,7559230
48,44,29.858,3.58296,7559296
48,52,77.809,9.33708,7559280
48,54,148.799,17.855880000000003,7559296
49,56,120.88,14.505599999999998,7559277
49,43,39.138999999999996,4.696679999999999,7559277
49,39,135.917,16.31004,7559312
50,46,71.292,8.55504,7559332
51,56,129.688,15.56256,73360764
52,48,77.809,9.33708,7559280
53,59,119.12899999999999,14.29548,7559322
53,68,130.234,15.62808,7559328
53,44,94.768,11.37216,7559328
54,62,111.08,13.3296,7559296
54,48,148.799,17.855880000000003,7559296
54,59,52.316,6.27792,7559368
55,60,61.557,7.386840000000001,7559321
56,58,39.468,4.736160000000001,7559318
56,49,120.88,14.505599999999998,7559277
56,51,129.68800000000002,15.562560000000003,73360764
57,11,1632.2930000000001,97.93758000000001,7559202
57,65,85.386,10.24632,7559524
57,46,164.941,11.875752,7559525
57,82,230.828,16.619616,111279730
58,56,39.468,4.736160000000001,7559318
58,5732,91.911,11.02932,7559274
58,61,29.826,3.57912,7559318
59,53,119.129,14.295480000000001,7559322
59,73,69.976,8.39712,7559368
59,54,52.316,6.27792,7559368
60,5305,56.799,6.81588,7559311
60,65,31.516000000000002,3.78192,7559311
60,55,61.557,7.386840000000001,7559321
61,67,22.893,2.74716,7559352
61,5688,15.583,1.8699599999999998,7559352
61,58,29.826,3.57912,7559318
62,77,101.995,12.239400000000002,7559296
62,54,111.08000000000001,13.329600000000001,7559296
62,75,104.792,12.57504,7559315
63,5173,345.9339999999999,41.51207999999999,7563047
63,85,230.60799999999998,27.672959999999996,7563047
63,4606,224.61,26.953200000000002,276781222
64,74,70.12100000000001,8.414520000000001,7559301
65,60,31.516000000000002,3.78192,7559311
65,81,76.24000000000001,9.148800000000001,7559524
65,57,85.386,10.24632,7559524
66,74,61.92400000000001,7.43088,7559290
67,61,22.893,2.74716,7559352
68,69,11.572,1.3886399999999999,7559328
68,53,130.234,15.62808,7559328
68,72,23.204,2.78448,7559344
69,68,11.572,1.3886399999999999,7559328
69,73,60.662000000000006,7.279440000000001,7559328
69,5476,79.673,9.56076,7559347
70,72,61.263,7.35156,25213122
71,28,498.853,29.93118,7559522
71,4079,144.11399999999998,17.29368,7559574
71,29,1195.212,71.71272,7581200
72,70,61.263,7.35156,25213122
72,78,45.434,5.45208,7559344
72,68,23.204,2.78448,7559344
73,75,53.116,6.37392,7559328
73,69,60.662000000000006,7.279440000000001,7559328
73,84,84.191,10.102920000000001,7559368
73,59,69.976,8.39712,7559368
74,81,30.398,3.6477600000000003,7559290
74,66,61.92400000000001,7.43088,7559290
74,64,70.121,8.41452,7559301
75,73,53.116,6.37392,7559328
75,62,104.792,12.57504,7559315
75,83,64.48,7.7376000000000005,7559328
76,351,678.8839999999999,40.733039999999995,7548811
76,99,1108.4789999999998,66.50873999999999,7548829
76,379,1254.084,75.24504000000002,7545236
77,62,101.995,12.239400000000002,7559296
78,72,45.434,5.45208,7559344
79,91,93.595,11.2314,7559293
79,80,132.03,15.8436,7559428
79,86,57.409,6.88908,7559325
80,86,74.92399999999999,8.990879999999999,7559409
80,96,143.031,17.16372,7559428
80,79,132.03,15.8436,7559428
81,74,30.398,3.6477600000000003,7559290
81,87,65.125,7.815,7559524
81,65,76.24000000000001,9.148800000000001,7559524
82,91,66.127,7.93524,7559238
82,102,177.69,12.79368,111279722
82,57,230.82799999999997,16.619616,111279730
83,88,29.933,3.5919600000000003,7559328
83,75,64.47999999999999,7.737599999999999,7559328
83,4597,71.997,8.63964,7559408
84,84,76.744,9.20928,951300635
84,73,84.19099999999999,10.10292,7559368
85,22,1277.544,76.65264,7562808
85,160,394.16400000000004,28.379808000000004,7563012
85,63,230.60799999999998,27.672959999999996,7563047
86,92,30.831,3.69972,7559409
86,79,57.409,6.88908,7559325
86,80,74.924,8.99088,7559409
87,100,78.477,9.417240000000001,7559239
87,97,111.346,13.36152,7559524
87,81,65.125,7.815,7559524
88,104,92.935,11.1522,7559328
88,83,29.933,3.5919600000000003,7559328
88,94,50.497,6.05964,7559429
88,97,272.247,32.66964000000001,7559427
89,95,37.365,4.4838000000000005,7558811
90,20,1319.595,79.1757,7581327
90,138,258.75,15.525,431370993
90,224,623.635,37.418099999999995,967602016
91,93,44.44,5.3328,7559238
91,82,66.127,7.93524,7559238
91,79,93.595,11.2314,7559293
92,86,30.831,3.69972,7559409
93,91,44.44,5.3328,7559238
93,106,63.142,7.57704,7559236
93,117,134.501,16.140120000000003,7559238
94,5689,56.707,6.80484,7559429
94,88,50.497,6.05964,7559429
94,5690,41.053,4.92636,7559438
95,25,870.0369999999998,104.40443999999998,7508409
95,89,37.365,4.4838000000000005,7558811
95,101,44.221000000000004,5.306520000000001,264795059
96,80,143.031,17.16372,7559428
97,88,272.247,32.66964000000001,7559427
97,104,57.316,6.8779200000000005,7559524
97,87,111.346,13.36152,7559524
98,108,47.69,5.722799999999999,7559433
99,5691,451.172,27.070320000000002,7548828
99,76,1108.4790000000003,66.50874000000002,7548829
99,269,461.595,27.695700000000002,1142229529
100,121,102.092,12.25104,7559247
100,87,78.47699999999999,9.417239999999998,7559239
100,108,57.748,6.92976,7559246
101,111,31.632,3.79584,7558808
101,114,44.504,5.3404799999999994,264795059
101,95,44.221000000000004,5.306520000000001,264795059
102,82,177.69,12.79368,111279722
102,163,306.02699999999993,22.033943999999995,111279739
102,5723,104.55699999999999,12.54684,1205026070
103,118,47.934,5.752079999999999,7559233
104,119,54.004000000000005,6.480480000000001,7559328
104,88,92.935,11.1522,7559328
104,123,151.122,18.134640000000005,7559524
104,97,57.316,6.8779200000000005,7559524
105,41,434.16600000000005,26.049960000000006,462644234
105,193,600.255,27.011475,7558022
105,107,295.259,13.286655,7558022
106,112,37.997,4.55964,7559236
106,93,63.142,7.57704,7559236
106,120,159.309,19.11708,7559237
107,105,295.25899999999996,13.286654999999998,7558022
107,127,1419.2610000000004,63.86674500000002,1267918526
107,158,166.872,20.02464,7558754
