,name,time_diff,time_cum_diff,name_osm,node_index,node_osmid,edge_u_osmid,edge_v_osmid,lon,lat,dist_diff,dist_cum_diff
0,"Spijkenisse, Metro Centrum",0,0,"Spijkenisse, Metro Centrum",4780,1490933932,1490933924,1490933932,4.3343484,51.8466975,0.0,0.0
1,"Spijkenisse, De Ritte",120,120,"Spijkenisse, De Ritte",6005,7899850330,44071382,7899850330,4.3227732,51.8466647,1220.5200000000002,1220.5200000000002
2,"Spijkenisse, Zinkseweg",60,180,"Spijkenisse, Zinkseweg",2684,44102774,2624546191,44102774,4.3039914,51.8547425,1826.873,3047.393
3,"Spijkenisse, Halfweg 2",60,240,"Spijkenisse, Halfweg 2",2684,44102774,588595657,44102774,4.3039914,51.8547425,0.0,3047.393
4,"Spijkenisse, Laanweg",60,300,"Spijkenisse, Laanweg",4118,588595659,11079648385,588595659,4.3016639,51.8566864,269.356,3316.749
5,"Geervliet, Geervliet",180,480,"Geervliet, Geervliet",6333,11079648385,1111999327,11079648385,4.2931651,51.8587226,644.449,3961.198
6,"Heenvliet, Heenvliet",120,600,"Heenvliet, Heenvliet",4531,1111999327,1072624809,1111999327,4.251669,51.8577165,2911.555999999999,6872.753999999999
7,"Hellevoetsluis, Kickersbloem",480,1080,"Hellevoetsluis, Kickersbloem",2046,44057764,44055098,44057764,4.1710704,51.8419772,6942.306,13815.059999999998
8,"Hellevoetsluis, Uniceflaan",120,1200,"Hellevoetsluis, Uniceflaan",2337,44070762,1084053288,44070762,4.164455,51.8459404,1331.0380000000005,15146.097999999998
9,"Hellevoetsluis, Bonseweg",60,1260,"Hellevoetsluis, Bonseweg",2179,44063675,44066196,44063675,4.1573893,51.8438556,707.0150000000001,15853.112999999998
10,"Hellevoetsluis, Wkc.Bonsenhoek",120,1380,"Hellevoetsluis, Winkelcentrum Bonsenhoek",2028,44057180,44059609,44057180,4.1537869,51.8417423,701.0189999999999,16554.131999999998
11,"Hellevoetsluis, M.L.Kinglaan",60,1440,"Hellevoetsluis, Martin Luther Kinglaan",1801,44049188,44047876,44049188,4.1550784,51.8394044,280.547,16834.678999999996
12,"Hellevoetsluis, A.Schweitzerlaan",60,1500,"Hellevoetsluis, Albert Schweitzerlaan",1919,44053854,1946166845,44053854,4.1498473,51.8408239,458.162,17292.840999999997
13,"Hellevoetsluis, J.van Brakelpad",120,1620,"Hellevoetsluis, Jan van Brakelpad",2199,44064783,44064361,44064783,4.14631,51.8440531,541.815,17834.655999999995
14,"Hellevoetsluis, Koninginnelaan",120,1740,"Hellevoetsluis, Koninginnelaan",5754,3717519083,44058345,3717519083,4.1397073,51.8458237,781.185,18615.841
15,"Hellevoetsluis, Hoonaartstraat",120,1860,"Hellevoetsluis, Hoonaartstraat",4521,1104925479,44035657,1104925479,4.1343321,51.8384269,903.577,19519.418
16,"Hellevoetsluis, Amnesty Int.laan",60,1920,"Hellevoetsluis, Amnesty Internationallaan",5283,2006048368,1080827885,2006048368,4.1356252,51.8342943,827.5899999999999,20347.008
