,trip_number,start_time,time
0,1005,20700,05:45:00
1,1009,22500,06:15:00
2,1011,24300,06:45:00
3,1013,26100,07:15:00
4,1017,27900,07:45:00
5,1021,29700,08:15:00
6,1023,31500,08:45:00
7,1025,35340,09:49:00
8,1027,38940,10:49:00
9,1029,42540,11:49:00
10,1031,44280,12:18:00
11,1033,46080,12:48:00
12,1035,47880,13:18:00
13,1037,49680,13:48:00
14,1039,51480,14:18:00
15,1041,53280,14:48:00
16,1043,55080,15:18:00
17,1045,56880,15:48:00
18,1047,58680,16:18:00
19,1049,60480,16:48:00
20,1051,62280,17:18:00
21,1053,64080,17:48:00
22,1055,64440,17:54:00
23,1057,66240,18:24:00
24,1059,68040,18:54:00
25,1061,70200,19:30:00
26,1063,73800,20:30:00
27,1065,77400,21:30:00
