,name,time_diff,time_cum_diff,name_osm,node_index,node_osmid,edge_u_osmid,edge_v_osmid,lon,lat,dist_diff,dist_cum_diff
11,"Vierpolders, Seggelant",0,0,"Vierpolders, Seggelant",3496,44279258,1646826477,44279258,4.1835633,51.8936924,0.0,0.0
12,"Brielle, Nieuwland",120,120,"Brielle, Nieuwland",4167,684447380,1461407370,684447380,4.168716,51.8985799,1265.7970000000005,1265.7969999999987
13,"Brielle, Brielle Centrum",120,240,"Brielle, Brielle Centrum",4984,1563503496,1563503443,1563503496,4.1616103,51.899174,535.394,1801.190999999999
14,"Brielle, Busstation Rugge",420,660,"Brielle, Busstation Rugge",3762,44323349,44320346,44323349,4.1544303,51.9037771,780.17,2581.360999999997
15,"Brielle, G.J. van den Boogerdweg",60,720,"Brielle, G.J. van den Boogerdweg",4985,1563503501,1563503538,1563503501,4.1598685,51.8992015,680.521,3261.881999999998
16,"Nieuwenhoorn, Nieuwenhoorn",420,1140,"Nieuwenhoorn, Nieuwenhoorn",2686,44103139,44103915,44103139,4.1420279,51.8551008,6007.791,9269.672999999999
17,"Hellevoetsluis, Koninginnelaan",240,1380,"Hellevoetsluis, Koninginnelaan",5754,3717519083,44058345,3717519083,4.1397073,51.8458237,1135.0859999999998,10404.758999999998
18,"Hellevoetsluis, Hoonaartstraat",120,1500,"Hellevoetsluis, Hoonaartstraat",4521,1104925479,44035657,1104925479,4.1343321,51.8384269,903.577,11308.336
19,"Hellevoetsluis, Amnesty Int.laan",60,1560,"Hellevoetsluis, Amnesty Internationallaan",5283,2006048368,1080827885,2006048368,4.1356252,51.8342943,827.5899999999999,12135.926
20,"Hellevoetsluis, Sportlaan",60,1620,"Hellevoetsluis, Sportlaan",4603,1270104348,1080689235,1270104348,4.1434972,51.8348452,551.689,12687.614999999998
21,"Hellevoetsluis, Kanaalweg",60,1680,"Hellevoetsluis, Kanaalweg",1008,44018594,11617007579,44018594,4.1437729,51.8321463,350.40200000000004,13038.017
22,"Hellevoetsluis, J.Blankenstraat",60,1740,"Hellevoetsluis, Jan Blankenstraat",4562,1170633966,43985099,1170633966,4.1389524,51.8300956,402.429,13440.445999999993
23,"Hellevoetsluis, Vesting",120,1860,"Hellevoetsluis, Vesting",249,43975702,43978295,43975702,4.1338291,51.8242156,748.699,14189.144999999993
24,"Hellevoetsluis, Vlasakkerlaan",60,1920,"Hellevoetsluis, Vlasakkerlaan",5759,3990958369,43974739,3990958369,4.1382738,51.8235694,407.401,14596.545999999991
25,"Hellevoetsluis, Plataanlaan",60,1980,"Hellevoetsluis, Plataanlaan",232,43974752,43983744,43974752,4.1483618,51.8240187,912.228,15508.773999999994
26,"Hellevoetsluis, Ebstroom",60,2040,"Hellevoetsluis, Ebstroom",251,43975718,43980330,43975718,4.1512551,51.8241734,203.96,15712.733999999993
27,"Hellevoetsluis, Kooistee",120,2160,"Hellevoetsluis, Kooilaan",505,43993976,43997720,43993976,4.160245,51.8279127,775.194,16487.927999999996
28,"Hellevoetsluis, Mandenmaker",120,2280,"Hellevoetsluis, Mandenmaker",5268,1999276750,1997248726,1999276750,4.165629,51.8324529,774.8990000000001,17262.827
29,"Hellevoetsluis, Kickersbloem",180,2460,"Hellevoetsluis, Kickersbloem",4123,613843458,44055098,613843458,4.1723068,51.8407031,1086.335,18349.162
