,trip_number,start_time,time
0,1002,18480,05:08:00
1,1004,22080,06:08:00
2,1006,23880,06:38:00
3,1008,25680,07:08:00
4,1010,27480,07:38:00
5,1012,29280,08:08:00
6,1014,29340,08:09:00
7,1016,30960,08:36:00
8,1018,33000,09:10:00
9,1020,36600,10:10:00
10,1022,40200,11:10:00
11,1024,43800,12:10:00
12,1026,45480,12:38:00
13,1028,47280,13:08:00
14,1030,49080,13:38:00
15,1032,50880,14:08:00
16,1034,52680,14:38:00
17,1036,54480,15:08:00
18,1038,56280,15:38:00
19,1040,57180,15:53:00
20,1042,58080,16:08:00
21,1044,59880,16:38:00
22,1046,60780,16:53:00
23,1048,61680,17:08:00
24,1050,63480,17:38:00
25,1052,64380,17:53:00
26,1054,65280,18:08:00
27,1056,66240,18:24:00
28,1058,67980,18:53:00
29,1060,71580,19:53:00
30,1062,75180,20:53:00
31,1064,78780,21:53:00
32,1066,82380,22:53:00
33,1068,87840,00:24:00
