,trip_number,start_time,time
0,1002,22440,06:14:00
1,1004,24240,06:44:00
2,1006,26040,07:14:00
3,1008,27840,07:44:00
4,1010,29640,08:14:00
5,1012,31440,08:44:00
6,1014,33240,09:14:00
7,1016,35040,09:44:00
8,1018,36840,10:14:00
9,1020,38640,10:44:00
10,1022,40440,11:14:00
11,1024,42240,11:44:00
12,1026,44040,12:14:00
13,1028,45840,12:44:00
14,1030,47640,13:14:00
15,1032,49440,13:44:00
16,1034,51240,14:14:00
17,1036,53040,14:44:00
18,1038,54840,15:14:00
19,1040,56640,15:44:00
20,1042,58440,16:14:00
21,1044,60240,16:44:00
22,1046,62040,17:14:00
23,1048,63840,17:44:00
24,1050,65640,18:14:00
25,1052,67440,18:44:00
26,1054,69240,19:14:00
27,1056,71040,19:44:00
28,1058,72840,20:14:00
29,1060,74640,20:44:00
30,1062,76440,21:14:00
31,1064,78240,21:44:00
32,1066,80040,22:14:00
33,1068,81840,22:44:00
34,1070,85560,23:46:00
35,1072,87360,00:16:00
