,trip_number,start_time,time
0,1001,32760,09:06:00
1,1003,34560,09:36:00
2,1005,36360,10:06:00
3,1007,38160,10:36:00
4,1009,39960,11:06:00
5,1011,41760,11:36:00
6,1013,43560,12:06:00
7,1015,45360,12:36:00
8,1017,47160,13:06:00
9,1019,48960,13:36:00
10,1021,50760,14:06:00
11,1023,52560,14:36:00
12,1025,54360,15:06:00
13,1027,56160,15:36:00
14,1029,57960,16:06:00
15,1031,59760,16:36:00
16,1033,61560,17:06:00
17,1035,63360,17:36:00
18,1037,66960,18:36:00
19,1039,70560,19:36:00
20,1041,74160,20:36:00
21,1043,77760,21:36:00
22,1045,81360,22:36:00
23,1047,84960,23:36:00
