,op_module,sim_env,op_max_wait_time,op_max_detour_factor,scenario_name,rq_file,demand_scalar,op_fleet_composition,op_vr_control_func_dict,op_act_fs_file
0,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_0/BO_D+WT_FB_1/,line91_week/0.25/sample_0.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
1,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_1/BO_D+WT_FB_1/,line91_week/0.25/sample_1.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
2,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_2/BO_D+WT_FB_1/,line91_week/0.25/sample_2.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
3,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_3/BO_D+WT_FB_1/,line91_week/0.25/sample_3.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
4,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_4/BO_D+WT_FB_1/,line91_week/0.25/sample_4.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
5,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_5/BO_D+WT_FB_1/,line91_week/0.25/sample_5.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
6,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_6/BO_D+WT_FB_1/,line91_week/0.25/sample_6.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
7,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_7/BO_D+WT_FB_1/,line91_week/0.25/sample_7.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
8,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_8/BO_D+WT_FB_1/,line91_week/0.25/sample_8.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
9,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_9/BO_D+WT_FB_1/,line91_week/0.25/sample_9.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
10,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_10/BO_D+WT_FB_1/,line91_week/0.25/sample_10.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
11,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_11/BO_D+WT_FB_1/,line91_week/0.25/sample_11.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
12,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_12/BO_D+WT_FB_1/,line91_week/0.25/sample_12.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
13,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_13/BO_D+WT_FB_1/,line91_week/0.25/sample_13.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
14,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_14/BO_D+WT_FB_1/,line91_week/0.25/sample_14.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
15,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_15/BO_D+WT_FB_1/,line91_week/0.25/sample_15.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
16,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_16/BO_D+WT_FB_1/,line91_week/0.25/sample_16.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
17,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_17/BO_D+WT_FB_1/,line91_week/0.25/sample_17.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
18,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_18/BO_D+WT_FB_1/,line91_week/0.25/sample_18.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
19,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_19/BO_D+WT_FB_1/,line91_week/0.25/sample_19.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
20,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_20/BO_D+WT_FB_1/,line91_week/0.25/sample_20.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
21,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_21/BO_D+WT_FB_1/,line91_week/0.25/sample_21.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
22,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_22/BO_D+WT_FB_1/,line91_week/0.25/sample_22.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
23,RidePoolingBatchAssignmentFleetcontrol,BatchOfferSimulation,1800,40,line91_week/0.25/sample_23/BO_D+WT_FB_1/,line91_week/0.25/sample_23.csv,0.25,flex_bus:1,func_key:IRS_study_standard,
