,op_max_wait_time,op_max_detour_time_factor,avg_fs,rq_type,op_reservation_module,op_rh_reservation_max_routes,op_short_term_horizon,op_module,sim_env,scenario_name,rq_file,demand_folder,demand_type,demand_scalar,op_fleet_composition,op_vr_control_func_dict,sample,config_str,op_depot_file,op_dyn_fs_method,op_act_fs_file
0,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_0/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_0.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_0,IB_900_UT_FB_1,,,
1,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_1/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_1.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_1,IB_900_UT_FB_1,,,
2,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_2/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_2.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_2,IB_900_UT_FB_1,,,
3,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_3/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_3.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_3,IB_900_UT_FB_1,,,
4,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_4/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_4.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_4,IB_900_UT_FB_1,,,
5,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_5/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_5.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_5,IB_900_UT_FB_1,,,
6,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_6/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_6.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_6,IB_900_UT_FB_1,,,
7,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_7/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_7.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_7,IB_900_UT_FB_1,,,
8,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_8/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_8.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_8,IB_900_UT_FB_1,,,
9,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_9/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_9.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_9,IB_900_UT_FB_1,,,
10,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_10/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_10.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_10,IB_900_UT_FB_1,,,
11,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_11/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_11.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_11,IB_900_UT_FB_1,,,
12,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_12/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_12.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_12,IB_900_UT_FB_1,,,
13,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_13/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_13.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_13,IB_900_UT_FB_1,,,
14,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_14/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_14.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_14,IB_900_UT_FB_1,,,
15,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_15/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_15.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_15,IB_900_UT_FB_1,,,
16,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_16/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_16.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_16,IB_900_UT_FB_1,,,
17,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_17/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_17.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_17,IB_900_UT_FB_1,,,
18,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_18/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_18.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_18,IB_900_UT_FB_1,,,
19,900,75,1.0,IndividualConstraintRequest,RollingHorizon,50,900,PoolingIRSAssignmentBatchOptimization,ImmediateDecisionsSimulation,line91_week/planned/0.25/sample_19/IB_900_UT_FB_1/,line91_week/planned/0.25/sample_19.csv,line91_week,reservation,0.25,flex_bus:1,func_key:user_times,sample_19,IB_900_UT_FB_1,,,
